Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	2	3	0	0.096922	1	-1
ART-D	chart_v1	3	3	0	0.034808	1	-1
ART-D	chart_v1	4	3	0	0.042951	1	-1
ART-D	chart_v1	5	3	0	0.07252	1	-1
ART-D	chart_v1	6	3	0	0.040557	1	-1
ART-D	chart_v1	7	3	0	0.046072	1	-1
ART-D	chart_v1	8	3	0	0.061048	1	-1
ART-D	chart_v1	9	3	0	0.06532	1	-1
ART-D	chart_v1	10	3	0	0.059209	1	-1
ART-D	chart_v1	11	3	0	0.058646	1	-1
ART-D	chart_v1	12	3	0	0.082662	1	-1
ART-D	chart_v1	13	3	0	0.062241	1	-1
ART-D	chart_v1	14	3	0	0.061741	1	-1
ART-D	chart_v1	15	3	0	0.038234	1	-1
ART-D	chart_v1	16	3	0	0.052216	1	-1
ART-D	chart_v1	17	3	0	0.044621	1	-1
ART-D	chart_v1	18	3	0	0.076155	1	-1
ART-D	chart_v1	19	3	0	0.06629	1	-1
ART-D	chart_v1	20	3	0	0.039973	1	-1
ART-D	chart_v1	21	3	0	0.076354	1	-1
ART-D	chart_v1	22	3	0	0.072071	1	-1
ART-D	chart_v1	23	3	0	0.051847	1	-1
ART-D	chart_v1	24	3	0	0.062968	1	-1
ART-D	chart_v1	25	3	0	0.048673	1	-1
ART-D	chart_v1	26	3	0	0.068822	1	-1
ART-D	chart_v1	27	3	0	0.068113	1	-1
ART-D	chart_v1	28	3	0	0.073639	1	-1
ART-D	chart_v1	29	3	0	0.070265	1	-1
ART-D	chart_v1	30	3	0	0.051767	1	-1
ART-D	chart_v1	31	3	0	0.041522	1	-1
ART-D	chart_v1	32	3	0	0.044231	1	-1
ART-D	chart_v1	33	3	0	0.077578	1	-1
ART-D	chart_v1	34	3	0	0.084018	1	-1
ART-D	chart_v1	35	3	0	0.071917	1	-1
ART-D	chart_v1	36	3	0	0.050085	1	-1
ART-D	chart_v1	37	3	0	0.084223	1	-1
ART-D	chart_v1	38	3	0	0.087914	1	-1
ART-D	chart_v1	39	3	0	0.076695	1	-1
ART-D	chart_v1	40	3	0	0.047274	1	-1
ART-D	chart_v1	41	3	0	0.051965	1	-1
ART-D	chart_v1	42	3	0	0.062916	1	-1
ART-D	chart_v1	43	3	0	0.064326	1	-1
ART-D	chart_v1	44	3	0	0.03638	1	-1
ART-D	chart_v1	45	3	0	0.050534	1	-1
ART-D	chart_v1	46	3	0	0.06961	1	-1
ART-D	chart_v1	47	3	0	0.05065	1	-1
