Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	39	2	0	0.190508	0.5555555556	1
ART-D	flex_v3	40	2	0	0.219995	0.4444444444	1
ART-D	flex_v3	41	2	0	0.200287	0.3333333333	1
ART-D	flex_v3	42	2	0	0.191737	0.4444444444	2
ART-D	flex_v3	43	2	0	0.199318	0.4444444444	1
ART-D	flex_v3	44	2	0	0.199159	0.4444444444	1
ART-D	flex_v3	45	2	0	0.185983	0.4444444444	3
ART-D	flex_v3	46	2	0	0.178636	0.4444444444	1
ART-D	flex_v3	47	2	0	0.184804	0.2222222222	1
ART-D	flex_v3	48	2	0	0.225549	0.4444444444	1
ART-D	flex_v3	49	2	0	0.205364	0.5555555556	1
ART-D	flex_v3	50	2	0	0.188924	0.3333333333	1
ART-D	flex_v3	1	3	0	0.373475	0.3333333333	1
ART-D	flex_v3	2	3	0	0.264462	0.5555555556	1
ART-D	flex_v3	3	3	0	0.338285	0.2222222222	3
ART-D	flex_v3	4	3	0	0.258202	0.3333333333	1
ART-D	flex_v3	5	3	0	0.320239	0.2222222222	1
ART-D	flex_v3	6	3	0	0.255303	0.2222222222	3
ART-D	flex_v3	7	3	0	0.273045	0.4444444444	1
ART-D	flex_v3	8	3	0	0.32277	0.4444444444	3
ART-D	flex_v3	9	3	0	0.280025	0.4444444444	1
ART-D	flex_v3	10	3	0	0.298362	0.5555555556	1
ART-D	flex_v3	11	3	0	0.284895	0.4444444444	1
ART-D	flex_v3	12	3	0	0.2383	0.5555555556	1
ART-D	flex_v3	13	3	0	0.347658	0.1111111111	3
ART-D	flex_v3	14	3	0	0.27132	0.5555555556	2
ART-D	flex_v3	15	3	0	0.280228	0.3333333333	1
ART-D	flex_v3	16	3	0	0.335501	0.2222222222	3
ART-D	flex_v3	17	3	0	0.258022	0.4444444444	1
ART-D	flex_v3	18	3	0	0.273277	0.4444444444	1
ART-D	flex_v3	19	3	0	0.290665	0.4444444444	1
ART-D	flex_v3	20	3	0	0.275405	0.4444444444	1
ART-D	flex_v3	21	3	0	0.264137	0.4444444444	3
ART-D	flex_v3	22	3	0	0.308222	0.4444444444	1
ART-D	flex_v3	23	3	0	0.253659	0.3333333333	1
ART-D	flex_v3	24	3	0	0.278662	0.2222222222	1
ART-D	flex_v3	25	3	0	0.291524	0.4444444444	1
ART-D	flex_v3	26	3	0	0.421402	0.2222222222	1
ART-D	flex_v3	27	3	0	0.225276	0.4444444444	3
ART-D	flex_v3	28	3	0	0.332816	0.1111111111	2
ART-D	flex_v3	29	3	0	0.265798	0.4444444444	2
ART-D	flex_v3	30	3	0	0.297219	0.2222222222	2
ART-D	flex_v3	31	3	0	0.298469	0.4444444444	3
ART-D	flex_v3	32	3	0	0.264371	0.3333333333	2
ART-D	flex_v3	33	3	0	0.284557	0.2222222222	1
ART-D	flex_v3	34	3	0	0.312203	0.4444444444	2
ART-D	flex_v3	35	3	0	0.254308	0.4444444444	2
ART-D	flex_v3	36	3	0	0.282503	0.1111111111	1
ART-D	flex_v3	37	3	0	0.317885	0.3333333333	2
ART-D	flex_v3	38	3	0	0.273155	0.3333333333	1
ART-D	flex_v3	39	3	0	0.22231	0.5555555556	4
ART-D	flex_v3	40	3	0	0.290652	0.2222222222	3
ART-D	flex_v3	41	3	0	0.286787	0.3333333333	2
ART-D	flex_v3	42	3	0	0.246531	0.4444444444	1
ART-D	flex_v3	43	3	0	0.294949	0.4444444444	2
ART-D	flex_v3	44	3	0	0.305635	0.4444444444	2
ART-D	flex_v3	45	3	0	0.283871	0.2222222222	1
ART-D	flex_v3	46	3	0	0.310629	0.5555555556	1
ART-D	flex_v3	47	3	0	0.29848	0.4444444444	2
ART-D	flex_v3	48	3	0	0.313858	0.4444444444	2
ART-D	flex_v3	49	3	0	0.273853	0.3333333333	4
ART-D	flex_v3	50	3	0	0.28313	0.4444444444	2
ART-D	flex_v3	1	4	0	0.417678	0.4444444444	2
ART-D	flex_v3	2	4	0	0.463891	0.3333333333	1
ART-D	flex_v3	3	4	0	0.393312	0.4444444444	2
ART-D	flex_v3	4	4	0	0.364873	0.4444444444	2
ART-D	flex_v3	5	4	0	0.409706	0.2222222222	2
ART-D	flex_v3	6	4	0	0.39119	0.4444444444	1
ART-D	flex_v3	7	4	0	0.371374	0.4444444444	5
ART-D	flex_v3	8	4	0	0.362003	0.4444444444	1
ART-D	flex_v3	9	4	0	0.55613	0.1111111111	2
ART-D	flex_v3	10	4	0	0.396201	0.5555555556	1
ART-D	flex_v3	11	4	0	0.37103	0.5555555556	1
ART-D	flex_v3	12	4	0	0.399315	0.4444444444	1
ART-D	flex_v3	13	4	0	0.357746	0.3333333333	1
ART-D	flex_v3	14	4	0	0.357708	0.2222222222	1
ART-D	flex_v3	15	4	0	0.383689	0.4444444444	2
ART-D	flex_v3	16	4	0	0.390033	0.2222222222	2
ART-D	flex_v3	17	4	0	0.454015	0.4444444444	3
ART-D	flex_v3	18	4	0	0.392156	0.4444444444	2
ART-D	flex_v3	19	4	0	0.411381	0.2222222222	2
ART-D	flex_v3	20	4	0	0.48515	0.1111111111	1
ART-D	flex_v3	21	4	0	0.339732	0.4444444444	2
ART-D	flex_v3	22	4	0	0.419854	0.4444444444	2
ART-D	flex_v3	23	4	0	0.440886	0.4444444444	1
ART-D	flex_v3	24	4	0	0.413662	0.3333333333	1
ART-D	flex_v3	25	4	0	0.399584	0.5555555556	3
ART-D	flex_v3	26	4	0	0.431074	0.4444444444	1
ART-D	flex_v3	27	4	0	0.433555	0.4444444444	1
ART-D	flex_v3	28	4	0	0.39074	0.3333333333	2
ART-D	flex_v3	29	4	0	0.439711	0.2222222222	1
ART-D	flex_v3	30	4	0	0.42239	0.2222222222	1
ART-D	flex_v3	31	4	0	0.41391	0.3333333333	3
ART-D	flex_v3	32	4	0	0.364767	0.4444444444	2
ART-D	flex_v3	33	4	0	0.520871	0.3333333333	1
ART-D	flex_v3	34	4	0	0.477265	0.3333333333	1
ART-D	flex_v3	35	4	0	0.371019	0.3333333333	1
ART-D	flex_v3	36	4	0	0.392456	0.4444444444	2
ART-D	flex_v3	37	4	0	0.376124	0.4444444444	1
ART-D	flex_v3	38	4	0	0.492058	0.3333333333	7
ART-D	flex_v3	39	4	0	0.372215	0.1111111111	2
ART-D	flex_v3	40	4	0	0.448785	0.3333333333	1
ART-D	flex_v3	41	4	0	0.456173	0.3333333333	1
ART-D	flex_v3	42	4	0	0.466484	0.4444444444	1
ART-D	flex_v3	43	4	0	0.375418	0.4444444444	2
ART-D	flex_v3	44	4	0	0.321138	0.4444444444	1
ART-D	flex_v3	45	4	0	0.461631	0.4444444444	1
ART-D	flex_v3	46	4	0	0.390902	0.3333333333	2
ART-D	flex_v3	47	4	0	0.515376	0.4444444444	1
ART-D	flex_v3	48	4	0	0.344384	0.5555555556	2
ART-D	flex_v3	49	4	0	0.518163	0.2222222222	3
ART-D	flex_v3	50	4	0	0.442738	0.4444444444	2
ART-D	flex_v3	1	5	0	0.521386	0.4444444444	1
ART-D	flex_v3	2	5	0	0.540407	0.4444444444	1
ART-D	flex_v3	3	5	0	0.604474	0.3333333333	2
ART-D	flex_v3	4	5	0	0.60168	0.4444444444	1
ART-D	flex_v3	5	5	0	0.544349	0.4444444444	1
ART-D	flex_v3	6	5	0	0.569961	0.5555555556	2
ART-D	flex_v3	7	5	0	0.572115	0.3333333333	1
ART-D	flex_v3	8	5	0	0.592608	0.4444444444	2
ART-D	flex_v3	9	5	0	0.565316	0.4444444444	2
ART-D	flex_v3	10	5	0	0.708926	0.3333333333	1
ART-D	flex_v3	11	5	0	0.738941	0	2
ART-D	flex_v3	12	5	0	0.572932	0.4444444444	3
ART-D	flex_v3	13	5	0	0.66145	0.1111111111	1
ART-D	flex_v3	14	5	0	0.598217	0.4444444444	1
ART-D	flex_v3	15	5	0	0.574367	0.3333333333	1
ART-D	flex_v3	16	5	0	0.615612	0.3333333333	1
ART-D	flex_v3	17	5	0	0.540649	0.2222222222	2
ART-D	flex_v3	18	5	0	0.506394	0.4444444444	1
ART-D	flex_v3	19	5	0	0.725704	0.3333333333	2
ART-D	flex_v3	20	5	0	0.617561	0.4444444444	3
ART-D	flex_v3	21	5	0	0.660762	0.4444444444	3
ART-D	flex_v3	22	5	0	0.514728	0.4444444444	2
ART-D	flex_v3	23	5	0	0.687949	0.3333333333	1
ART-D	flex_v3	24	5	0	0.552138	0.4444444444	1
ART-D	flex_v3	25	5	0	0.566058	0.2222222222	3
ART-D	flex_v3	26	5	0	0.605777	0.4444444444	2
ART-D	flex_v3	27	5	0	0.658355	0.4444444444	3
ART-D	flex_v3	28	5	0	0.557254	0.2222222222	1
ART-D	flex_v3	29	5	0	0.681608	0.3333333333	2
ART-D	flex_v3	30	5	0	0.574951	0.2222222222	1
ART-D	flex_v3	31	5	0	0.514266	0.4444444444	1
ART-D	flex_v3	32	5	0	0.601638	0.1111111111	1
ART-D	flex_v3	33	5	0	0.572113	0.2222222222	2
ART-D	flex_v3	34	5	0	0.522563	0.4444444444	1
ART-D	flex_v3	35	5	0	0.577839	0.3333333333	1
ART-D	flex_v3	36	5	0	0.505023	0.4444444444	2
ART-D	flex_v3	37	5	0	0.591912	0.5555555556	2
ART-D	flex_v3	38	5	0	0.596286	0.3333333333	1
ART-D	flex_v3	39	5	0	0.710873	0.3333333333	1
ART-D	flex_v3	40	5	0	0.561642	0.2222222222	3
ART-D	flex_v3	41	5	0	0.774288	0.4444444444	2
ART-D	flex_v3	42	5	0	0.577678	0.4444444444	1
ART-D	flex_v3	43	5	0	0.690861	0.4444444444	1
ART-D	flex_v3	44	5	0	0.750425	0.1111111111	1
ART-D	flex_v3	45	5	0	0.790195	0.1111111111	1
ART-D	flex_v3	46	5	0	0.887611	0.3333333333	3
ART-D	flex_v3	47	5	0	0.637695	0.4444444444	1
ART-D	flex_v3	48	5	0	0.534271	0.5555555556	1
ART-D	flex_v3	49	5	0	0.751956	0.4444444444	2
ART-D	flex_v3	50	5	0	0.57981	0.2222222222	2
ART-D	flex_v3	1	6	0	0.846462	0.4444444444	1
ART-D	flex_v3	2	6	0	0.898392	0.1111111111	3
ART-D	flex_v3	3	6	0	0.780003	0.2222222222	4
ART-D	flex_v3	4	6	0	0.853587	0.3333333333	2
ART-D	flex_v3	5	6	0	0.633014	0.1111111111	2
ART-D	flex_v3	6	6	0	1.059092	0.3333333333	3
ART-D	flex_v3	7	6	0	0.762113	0.3333333333	1
ART-D	flex_v3	8	6	0	0.822321	0.2222222222	2
ART-D	flex_v3	9	6	0	0.819009	0.4444444444	1
ART-D	flex_v3	10	6	0	0.891555	0.1111111111	2
ART-D	flex_v3	11	6	0	0.864162	0.4444444444	1
ART-D	flex_v3	12	6	0	0.842228	0.4444444444	1
ART-D	flex_v3	13	6	0	0.952842	0.2222222222	1
ART-D	flex_v3	14	6	0	0.956504	0.2222222222	2
ART-D	flex_v3	15	6	0	0.803593	0.2222222222	2
ART-D	flex_v3	16	6	0	0.897923	0.4444444444	2
ART-D	flex_v3	17	6	0	0.947424	0.3333333333	1
ART-D	flex_v3	18	6	0	0.759805	0.4444444444	1
ART-D	flex_v3	19	6	0	0.748311	0.2222222222	3
ART-D	flex_v3	20	6	0	0.79363	0.2222222222	2
ART-D	flex_v3	21	6	0	0.798621	0.4444444444	1
ART-D	flex_v3	22	6	0	0.739554	0.3333333333	1
ART-D	flex_v3	23	6	0	0.921666	0.2222222222	1
ART-D	flex_v3	24	6	0	0.673285	0.4444444444	3
ART-D	flex_v3	25	6	0	0.883071	0.3333333333	2
ART-D	flex_v3	26	6	0	1.143251	0.3333333333	1
ART-D	flex_v3	27	6	0	0.7521	0.3333333333	2
ART-D	flex_v3	28	6	0	0.803441	0.3333333333	4
ART-D	flex_v3	29	6	0	0.942675	0.1111111111	1
ART-D	flex_v3	30	6	0	0.971564	0.2222222222	2
ART-D	flex_v3	31	6	0	0.877455	0.4444444444	3
ART-D	flex_v3	32	6	0	0.849382	0.4444444444	1
ART-D	flex_v3	33	6	0	0.715097	0.4444444444	1
ART-D	flex_v3	34	6	0	0.842355	0.2222222222	1
ART-D	flex_v3	35	6	0	0.722787	0.4444444444	2
ART-D	flex_v3	36	6	0	0.883567	0.4444444444	1
ART-D	flex_v3	37	6	0	0.83367	0.3333333333	1
ART-D	flex_v3	38	6	0	0.753242	0.4444444444	1
ART-D	flex_v3	39	6	0	0.765225	0.2222222222	3
ART-D	flex_v3	40	6	0	0.839353	0.4444444444	2
ART-D	flex_v3	41	6	0	0.856178	0.3333333333	2
ART-D	flex_v3	42	6	0	0.703794	0.3333333333	3
ART-D	flex_v3	43	6	0	0.722684	0.4444444444	2
ART-D	flex_v3	44	6	0	0.883156	0.4444444444	1
ART-D	flex_v3	45	6	0	0.779182	0.2222222222	2
ART-D	flex_v3	46	6	0	0.900193	0.2222222222	1
ART-D	flex_v3	47	6	0	0.829859	0.3333333333	1
ART-D	flex_v3	48	6	0	0.957514	0.4444444444	1
ART-D	flex_v3	49	6	0	0.88746	0.3333333333	1
ART-D	flex_v3	50	6	0	0.89698	0.3333333333	2
ART-D	flex_v3	1	7	0	1.28548	0.3333333333	1
ART-D	flex_v3	2	7	0	1.297032	0	3
ART-D	flex_v3	3	7	0	0.938495	0.3333333333	1
ART-D	flex_v3	4	7	0	1.279058	0.4444444444	2
ART-D	flex_v3	5	7	0	0.968197	0.3333333333	3
ART-D	flex_v3	6	7	0	1.107334	0.2222222222	1
ART-D	flex_v3	7	7	0	1.158072	0.4444444444	3
ART-D	flex_v3	8	7	0	1.300319	0.4444444444	1
ART-D	flex_v3	9	7	0	0.951299	0.4444444444	2
ART-D	flex_v3	10	7	0	1.159384	0.4444444444	2
ART-D	flex_v3	11	7	0	1.072794	0.4444444444	2
ART-D	flex_v3	12	7	0	1.08796	0.1111111111	1
ART-D	flex_v3	13	7	0	0.837888	0.3333333333	1
ART-D	flex_v3	14	7	0	1.131531	0.2222222222	5
ART-D	flex_v3	15	7	0	1.02574	0.4444444444	2
ART-D	flex_v3	16	7	0	1.112992	0.1111111111	1
ART-D	flex_v3	17	7	0	1.257999	0.1111111111	2
ART-D	flex_v3	18	7	0	1.041025	0.3333333333	1
ART-D	flex_v3	19	7	0	0.924713	0.1111111111	1
ART-D	flex_v3	20	7	0	1.121364	0.4444444444	2
ART-D	flex_v3	21	7	0	1.323715	0.2222222222	2
ART-D	flex_v3	22	7	0	1.161868	0.3333333333	2
ART-D	flex_v3	23	7	0	1.106986	0.1111111111	1
ART-D	flex_v3	24	7	0	0.965587	0.4444444444	2
ART-D	flex_v3	25	7	0	1.115052	0.1111111111	1
ART-D	flex_v3	26	7	0	0.964822	0.4444444444	2
ART-D	flex_v3	27	7	0	1.034293	0.4444444444	1
ART-D	flex_v3	28	7	0	1.090068	0.4444444444	2
ART-D	flex_v3	29	7	0	1.087711	0.1111111111	2
ART-D	flex_v3	30	7	0	1.371106	0.4444444444	1
ART-D	flex_v3	31	7	0	0.926365	0.1111111111	1
