Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	39	2	0	0.029606	0.5555555556	1
ART-D	flex_v3	40	2	0	0.02308	0.3333333333	2
ART-D	flex_v3	41	2	0	0.022599	0.5555555556	3
ART-D	flex_v3	42	2	0	0.022637	0.3333333333	1
ART-D	flex_v3	43	2	0	0.026464	0.4444444444	1
ART-D	flex_v3	44	2	0	0.023293	0.4444444444	1
ART-D	flex_v3	45	2	0	0.023467	0.5555555556	1
ART-D	flex_v3	46	2	0	0.023685	0.7777777778	1
ART-D	flex_v3	47	2	0	0.023051	0.4444444444	2
ART-D	flex_v3	48	2	0	0.022934	0.5555555556	2
ART-D	flex_v3	49	2	0	0.030242	0.5555555556	2
ART-D	flex_v3	50	2	0	0.023548	0.5555555556	2
ART-D	flex_v3	1	3	0	0.034421	0.7777777778	1
ART-D	flex_v3	2	3	0	0.028871	0.1111111111	3
ART-D	flex_v3	3	3	0	0.033177	0.3333333333	2
ART-D	flex_v3	4	3	0	0.027952	0.2222222222	1
ART-D	flex_v3	5	3	0	0.029772	0.5555555556	1
ART-D	flex_v3	6	3	0	0.031523	0.5555555556	2
ART-D	flex_v3	7	3	0	0.030623	0.4444444444	1
ART-D	flex_v3	8	3	0	0.031794	0.5555555556	4
ART-D	flex_v3	9	3	0	0.03394	0.4444444444	2
ART-D	flex_v3	10	3	0	0.04093	0.4444444444	1
ART-D	flex_v3	11	3	0	0.029144	0.3333333333	2
ART-D	flex_v3	12	3	0	0.032927	0.2222222222	3
ART-D	flex_v3	13	3	0	0.03063	0.4444444444	2
ART-D	flex_v3	14	3	0	0.038086	0.3333333333	1
ART-D	flex_v3	15	3	0	0.031683	0.4444444444	1
ART-D	flex_v3	16	3	0	0.038596	0.4444444444	2
ART-D	flex_v3	17	3	0	0.033375	0.2222222222	2
ART-D	flex_v3	18	3	0	0.032938	0.5555555556	3
ART-D	flex_v3	19	3	0	0.029239	0.3333333333	1
ART-D	flex_v3	20	3	0	0.036056	0.5555555556	3
ART-D	flex_v3	21	3	0	0.030623	0.5555555556	1
ART-D	flex_v3	22	3	0	0.030363	0.3333333333	1
ART-D	flex_v3	23	3	0	0.030472	0.4444444444	3
ART-D	flex_v3	24	3	0	0.033746	0.4444444444	1
ART-D	flex_v3	25	3	0	0.035249	0.4444444444	2
ART-D	flex_v3	26	3	0	0.03119	0.4444444444	1
ART-D	flex_v3	27	3	0	0.030696	0.3333333333	3
ART-D	flex_v3	28	3	0	0.030246	0.1111111111	1
ART-D	flex_v3	29	3	0	0.03065	0.3333333333	3
ART-D	flex_v3	30	3	0	0.037696	0.3333333333	1
ART-D	flex_v3	31	3	0	0.03246	0.1111111111	1
ART-D	flex_v3	32	3	0	0.032422	0.4444444444	2
ART-D	flex_v3	33	3	0	0.029709	0.3333333333	1
ART-D	flex_v3	34	3	0	0.035088	0.2222222222	1
ART-D	flex_v3	35	3	0	0.03558	0.2222222222	1
ART-D	flex_v3	36	3	0	0.032142	0.4444444444	3
ART-D	flex_v3	37	3	0	0.032133	0.3333333333	4
ART-D	flex_v3	38	3	0	0.029823	0.4444444444	2
ART-D	flex_v3	39	3	0	0.032508	0.4444444444	1
ART-D	flex_v3	40	3	0	0.036812	0.5555555556	1
ART-D	flex_v3	41	3	0	0.03411	0.4444444444	3
ART-D	flex_v3	42	3	0	0.033007	0.4444444444	4
ART-D	flex_v3	43	3	0	0.029788	0.4444444444	1
ART-D	flex_v3	44	3	0	0.032508	0.3333333333	1
ART-D	flex_v3	45	3	0	0.029673	0.4444444444	1
ART-D	flex_v3	46	3	0	0.030045	0.4444444444	3
ART-D	flex_v3	47	3	0	0.02955	0.3333333333	1
ART-D	flex_v3	48	3	0	0.031584	0.3333333333	2
ART-D	flex_v3	49	3	0	0.030246	0.2222222222	1
ART-D	flex_v3	50	3	0	0.035374	0.3333333333	1
ART-D	flex_v3	1	4	0	0.045877	0.1111111111	2
ART-D	flex_v3	2	4	0	0.041826	0.5555555556	4
ART-D	flex_v3	3	4	0	0.037206	0.4444444444	1
ART-D	flex_v3	4	4	0	0.038378	0.4444444444	1
ART-D	flex_v3	5	4	0	0.039922	0.4444444444	2
ART-D	flex_v3	6	4	0	0.038845	0.4444444444	1
ART-D	flex_v3	7	4	0	0.042931	0.2222222222	2
ART-D	flex_v3	8	4	0	0.046361	0.2222222222	1
ART-D	flex_v3	9	4	0	0.04163	0.3333333333	2
ART-D	flex_v3	10	4	0	0.049021	0	1
ART-D	flex_v3	11	4	0	0.036279	0.2222222222	2
ART-D	flex_v3	12	4	0	0.036965	0.3333333333	1
ART-D	flex_v3	13	4	0	0.039674	0.4444444444	1
ART-D	flex_v3	14	4	0	0.039732	0.4444444444	2
ART-D	flex_v3	15	4	0	0.03754	0.1111111111	1
ART-D	flex_v3	16	4	0	0.043602	0.3333333333	2
ART-D	flex_v3	17	4	0	0.039849	0.3333333333	1
ART-D	flex_v3	18	4	0	0.038565	0.2222222222	1
ART-D	flex_v3	19	4	0	0.046824	0.2222222222	2
ART-D	flex_v3	20	4	0	0.044693	0.4444444444	1
ART-D	flex_v3	21	4	0	0.044929	0.1111111111	2
ART-D	flex_v3	22	4	0	0.040948	0.2222222222	1
ART-D	flex_v3	23	4	0	0.043274	0.4444444444	2
ART-D	flex_v3	24	4	0	0.042787	0.3333333333	1
ART-D	flex_v3	25	4	0	0.044485	0.4444444444	1
ART-D	flex_v3	26	4	0	0.040939	0.3333333333	2
ART-D	flex_v3	27	4	0	0.04651	0.4444444444	2
ART-D	flex_v3	28	4	0	0.039343	0.4444444444	1
ART-D	flex_v3	29	4	0	0.040425	0.5555555556	2
ART-D	flex_v3	30	4	0	0.047402	0.3333333333	1
ART-D	flex_v3	31	4	0	0.044597	0.4444444444	1
ART-D	flex_v3	32	4	0	0.042441	0.4444444444	1
ART-D	flex_v3	33	4	0	0.045819	0.4444444444	1
ART-D	flex_v3	34	4	0	0.040521	0.4444444444	2
ART-D	flex_v3	35	4	0	0.038455	0.4444444444	1
ART-D	flex_v3	36	4	0	0.037787	0.4444444444	1
ART-D	flex_v3	37	4	0	0.042115	0.2222222222	1
ART-D	flex_v3	38	4	0	0.038383	0.2222222222	1
ART-D	flex_v3	39	4	0	0.042588	0.4444444444	1
ART-D	flex_v3	40	4	0	0.045686	0.2222222222	1
ART-D	flex_v3	41	4	0	0.039861	0.4444444444	1
ART-D	flex_v3	42	4	0	0.03719	0.4444444444	5
ART-D	flex_v3	43	4	0	0.03984	0.3333333333	2
ART-D	flex_v3	44	4	0	0.040993	0.3333333333	1
ART-D	flex_v3	45	4	0	0.044618	0.5555555556	2
ART-D	flex_v3	46	4	0	0.041131	0.5555555556	1
ART-D	flex_v3	47	4	0	0.038892	0.4444444444	1
ART-D	flex_v3	48	4	0	0.037567	0.1111111111	1
ART-D	flex_v3	49	4	0	0.039402	0.4444444444	1
ART-D	flex_v3	50	4	0	0.045005	0.4444444444	4
ART-D	flex_v3	1	5	0	0.065819	0.3333333333	4
ART-D	flex_v3	2	5	0	0.053007	0.4444444444	1
ART-D	flex_v3	3	5	0	0.048739	0.3333333333	1
ART-D	flex_v3	4	5	0	0.054824	0.3333333333	2
ART-D	flex_v3	5	5	0	0.052262	0.2222222222	5
ART-D	flex_v3	6	5	0	0.052389	0.3333333333	1
ART-D	flex_v3	7	5	0	0.063405	0.2222222222	1
ART-D	flex_v3	8	5	0	0.056263	0.4444444444	1
ART-D	flex_v3	9	5	0	0.053352	0.4444444444	1
ART-D	flex_v3	10	5	0	0.055288	0.4444444444	1
