Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	closure_v1	48	0	31.60685	0	0	25
ART-D	closure_v1	49	0	28.708884	0	0.0046082949	66
ART-D	closure_v1	50	0	28.911788	0	0	85
ART-D	lang_v1	1	0	0.448692	0	0.0272727273	12
ART-D	lang_v1	2	0	0.500043	0	0	76
ART-D	lang_v1	3	0	0.524446	0	0	3
ART-D	lang_v1	4	0	0.446236	0	0	12
ART-D	lang_v1	5	0	0.470234	0	0	85
ART-D	lang_v1	6	0	0.522107	0	0	29
ART-D	lang_v1	7	0	0.407292	0	0	64
ART-D	lang_v1	8	0	0.404414	0	0	3
ART-D	lang_v1	9	0	0.414931	0	0	74
ART-D	lang_v1	10	0	0.451746	0	0	50
ART-D	lang_v1	11	0	0.355922	0	0.0090909091	67
ART-D	lang_v1	12	0	0.471165	0	0	89
ART-D	lang_v1	13	0	0.357355	0	0.0090909091	69
ART-D	lang_v1	14	0	0.378372	0	0.0181818182	72
ART-D	lang_v1	15	0	0.382303	0	0	91
ART-D	lang_v1	16	0	0.491516	0	0	90
ART-D	lang_v1	17	0	0.404451	0	0	19
ART-D	lang_v1	18	0	0.448601	0	0.0090909091	43
ART-D	lang_v1	19	0	0.41146	0	0	23
ART-D	lang_v1	20	0	0.42686	0	0	84
ART-D	lang_v1	21	0	0.415996	0	0	8
ART-D	lang_v1	22	0	0.436278	0	0.0090909091	74
ART-D	lang_v1	23	0	0.458021	0	0.0181818182	21
ART-D	lang_v1	24	0	0.508332	0	0	44
ART-D	lang_v1	25	0	0.437967	0	0	91
ART-D	lang_v1	26	0	0.427555	0	0	57
ART-D	lang_v1	27	0	0.412508	0	0.0090909091	106
ART-D	lang_v1	28	0	0.488868	0	0	1
ART-D	lang_v1	29	0	0.441296	0	0	4
ART-D	lang_v1	30	0	0.398022	0	0	23
ART-D	lang_v1	31	0	0.40755	0	0	67
ART-D	lang_v1	32	0	0.530534	0	0	13
ART-D	lang_v1	33	0	0.330339	0	0.0090909091	83
ART-D	lang_v1	34	0	0.349516	0	0.0090909091	39
ART-D	lang_v1	35	0	0.463472	0	0.0090909091	103
ART-D	lang_v1	36	0	0.408275	0	0	2
ART-D	lang_v1	37	0	0.425059	0	0	3
ART-D	lang_v1	38	0	0.410564	0	0.0090909091	99
ART-D	lang_v1	39	0	0.4662	0	0	13
ART-D	lang_v1	40	0	0.485861	0	0.0181818182	105
ART-D	lang_v1	41	0	0.435119	0	0	25
ART-D	lang_v1	42	0	0.581953	0	0	85
ART-D	lang_v1	43	0	0.474983	0	0	40
ART-D	lang_v1	44	0	0.455234	0	0	17
ART-D	lang_v1	45	0	0.489129	0	0.0090909091	63
ART-D	lang_v1	46	0	0.490023	0	0.0090909091	104
ART-D	lang_v1	47	0	0.435419	0	0.0090909091	26
ART-D	lang_v1	48	0	0.408258	0	0	70
ART-D	lang_v1	49	0	0.38272	0	0.0181818182	46
ART-D	lang_v1	50	0	0.42591	0	0.0272727273	43
ART-D	math_v1	1	0	14.114106	0	0.0078125	335
ART-D	math_v1	2	0	14.524932	0	0.0130208333	111
ART-D	math_v1	3	0	16.293921	0	0	37
ART-D	math_v1	4	0	15.541553	0	0.0026041667	92
ART-D	math_v1	5	0	16.293207	0	0	31
