Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	grep_v3	40	0	239.740298	0	0.0173053152	1
ART-D	grep_v3	41	0	248.775243	0	0.0024721879	1
ART-D	grep_v3	42	0	222.065878	0	0.0271940667	1
ART-D	grep_v3	43	0	232.99392	0	0.0309023486	1
ART-D	grep_v3	44	0	229.35705	0	0.0185414091	1
ART-D	grep_v3	45	0	221.57242	0	0.0074165637	1
ART-D	grep_v3	46	0	230.845548	0	0.0309023486	1
ART-D	grep_v3	47	0	231.116179	0	0.044499382	1
ART-D	grep_v3	48	0	219.186538	0	0.0135970334	1
ART-D	grep_v3	49	0	228.69044	0	0.0469715698	1
ART-D	grep_v3	50	0	228.323315	0	0.0296662546	1
ART-D	gzip_v1	1	0	3.308382	0	0.0420560748	1
ART-D	gzip_v1	2	0	2.950434	0	0.1214953271	1
ART-D	gzip_v1	3	0	3.03868	0	0.0607476636	2
ART-D	gzip_v1	4	0	3.316201	0	0.0794392523	1
ART-D	gzip_v1	5	0	3.086994	0	0.046728972	1
ART-D	gzip_v1	6	0	2.390374	0	0.191588785	1
ART-D	gzip_v1	7	0	3.461769	0	0.0327102804	1
ART-D	gzip_v1	8	0	3.134099	0	0.0747663551	1
ART-D	gzip_v1	9	0	3.139423	0	0.0046728972	1
ART-D	gzip_v1	10	0	3.414121	0	0.0046728972	1
ART-D	gzip_v1	11	0	2.877013	0	0.046728972	1
ART-D	gzip_v1	12	0	3.133405	0	0.0934579439	1
ART-D	gzip_v1	13	0	2.924907	0	0.0981308411	1
ART-D	gzip_v1	14	0	3.400909	0	0.023364486	1
ART-D	gzip_v1	15	0	1.898514	0	0.3037383178	1
ART-D	gzip_v1	16	0	1.899201	0	0.285046729	2
ART-D	gzip_v1	17	0	1.604618	0	0.3364485981	1
ART-D	gzip_v1	18	0	3.668763	0	0.0327102804	1
ART-D	gzip_v1	19	0	2.028131	0	0.2710280374	1
ART-D	gzip_v1	20	0	2.199216	0	0.2242990654	1
ART-D	gzip_v1	21	0	3.355279	0	0.0514018692	1
ART-D	gzip_v1	22	0	3.667701	0	0.0373831776	2
ART-D	gzip_v1	23	0	3.032869	0	0.0700934579	1
ART-D	gzip_v1	24	0	3.636922	0	0.023364486	1
ART-D	gzip_v1	25	0	2.580764	0	0.1542056075	1
ART-D	gzip_v1	26	0	2.985071	0	0.1121495327	1
ART-D	gzip_v1	27	0	3.158919	0	0.0747663551	1
ART-D	gzip_v1	28	0	2.591668	0	0.1588785047	1
ART-D	gzip_v1	29	0	3.174731	0	0.0981308411	1
ART-D	gzip_v1	30	0	3.451609	0	0.0327102804	1
ART-D	gzip_v1	31	0	2.744416	0	0.1214953271	1
ART-D	gzip_v1	32	0	3.029052	0	0.0560747664	1
ART-D	gzip_v1	33	0	3.343576	0	0.0654205607	1
ART-D	gzip_v1	34	0	2.065358	0	0.2289719626	1
ART-D	gzip_v1	35	0	3.208868	0	0.0747663551	1
ART-D	gzip_v1	36	0	3.244128	0	0.0514018692	1
ART-D	gzip_v1	37	0	2.508391	0	0.1542056075	1
ART-D	gzip_v1	38	0	2.690683	0	0.0794392523	1
ART-D	gzip_v1	39	0	2.709869	0	0.1308411215	1
ART-D	gzip_v1	40	0	3.474192	0	0.0373831776	1
ART-D	gzip_v1	41	0	2.878165	0	0.0934579439	1
ART-D	gzip_v1	42	0	3.314672	0	0.0560747664	1
ART-D	gzip_v1	43	0	2.648476	0	0.0747663551	1
ART-D	gzip_v1	44	0	3.320047	0	0.0327102804	1
ART-D	gzip_v1	45	0	3.415878	0	0.0046728972	1
ART-D	gzip_v1	46	0	3.267375	0	0.0373831776	1
ART-D	gzip_v1	47	0	2.38871	0	0.1682242991	1
ART-D	gzip_v1	48	0	3.054079	0	0.0747663551	1
ART-D	gzip_v1	49	0	3.189553	0	0.0607476636	1
ART-D	gzip_v1	50	0	2.10409	0	0.2476635514	1
ART-D	make_v1	1	0	151.431652	0.5263157895	0.1657142857	1
ART-D	make_v1	2	0	195.65818	0	0.0434285714	1
ART-D	make_v1	3	0	188.081332	0	0.0537142857	1
ART-D	make_v1	4	0	202.765442	0	0.0285714286	1
ART-D	make_v1	5	0	205.343738	0	0.0205714286	4
ART-D	make_v1	6	0	197.515926	0	0.0388571429	2
ART-D	make_v1	7	0	161.000336	0	0.144	1
ART-D	make_v1	8	0	203.41252	0	0.0445714286	1
ART-D	make_v1	9	0	171.711557	0	0.112	1
ART-D	make_v1	10	0	198.985727	0	0.056	2
ART-D	make_v1	11	0	190.483849	0	0.0537142857	1
ART-D	make_v1	12	0	192.60223	0	0.0217142857	1
ART-D	make_v1	13	0	99.296536	0.5263157895	0.3017142857	1
ART-D	make_v1	14	0	192.861269	0	0.0342857143	1
ART-D	make_v1	15	0	154.652102	0.5263157895	0.1028571429	1
ART-D	make_v1	16	0	184.888904	0	0.0297142857	1
ART-D	make_v1	17	0	126.375091	0	0.2057142857	6
ART-D	make_v1	18	0	179.018804	0	0.0274285714	1
ART-D	make_v1	19	0	185.848153	0	0.0308571429	1
ART-D	make_v1	20	0	184.780794	0	0.0011428571	1
ART-D	make_v1	21	0	163.158761	0	0.0742857143	1
ART-D	make_v1	22	0	147.443552	0	0.112	2
ART-D	make_v1	23	0	146.358187	0	0.1108571429	1
ART-D	make_v1	24	0	155.219415	0	0.1028571429	1
ART-D	make_v1	25	0	135.466326	0.5263157895	0.16	2
ART-D	make_v1	26	0	181.137368	0	0.0091428571	1
ART-D	make_v1	27	0	147.364088	0.5263157895	0.1142857143	1
ART-D	make_v1	28	0	153.052697	0	0.0948571429	2
ART-D	make_v1	29	0	136.707941	0	0.1371428571	1
ART-D	make_v1	30	0	175.480612	0	0.0571428571	1
ART-D	make_v1	31	0	174.03228	0	0.0354285714	6
ART-D	make_v1	32	0	169.334869	0	0.0491428571	1
ART-D	make_v1	33	0	170.781809	0	0.0525714286	2
ART-D	make_v1	34	0	144.085485	0.5263157895	0.1177142857	1
ART-D	make_v1	35	0	161.288252	0	0.0674285714	1
ART-D	make_v1	36	0	163.864082	0	0.0685714286	2
ART-D	make_v1	37	0	122.320827	0	0.1931428571	1
ART-D	make_v1	38	0	164.206384	0	0.0754285714	1
ART-D	make_v1	39	0	151.531447	0	0.112	1
ART-D	make_v1	40	0	126.307692	0	0.1634285714	1
ART-D	make_v1	41	0	137.063595	0	0.1474285714	1
ART-D	make_v1	42	0	172.636372	0	0.056	1
ART-D	make_v1	43	0	135.462073	0	0.152	1
ART-D	make_v1	44	0	177.394266	0.5263157895	0.048	1
ART-D	make_v1	45	0	111.678393	0	0.2228571429	1
ART-D	make_v1	46	0	116.426131	0	0.2068571429	5
ART-D	make_v1	47	0	148.701447	0	0.128	3
ART-D	make_v1	48	0	183.076403	0	0.0331428571	1
ART-D	make_v1	49	0	141.390082	0	0.1337142857	2
ART-D	make_v1	50	0	163.636788	0	0.0788571429	1
ART-D	sed_v6	1	0	32.774085	0	0.072972973	1
ART-D	sed_v6	2	0	37.339946	0	0.0297297297	1
ART-D	sed_v6	3	0	38.704592	0	0.0162162162	1
ART-D	sed_v6	4	0	24.681049	0	0.2135135135	2
ART-D	sed_v6	5	0	32.629297	0	0.1189189189	1
ART-D	sed_v6	6	0	38.569938	0	0.027027027	3
ART-D	sed_v6	7	0	36.57132	0	0.0351351351	1
