Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	2	3	0	0.214355	0	1
ART-D	chart_v1	3	3	0	0.293384	1	-1
ART-D	chart_v1	4	3	0	0.27965	1	-1
ART-D	chart_v1	5	3	0	0.241961	1	-1
ART-D	chart_v1	6	3	0	0.268891	1	-1
ART-D	chart_v1	7	3	0	0.241186	1	-1
ART-D	chart_v1	8	3	0	0.397399	1	-1
ART-D	chart_v1	9	3	0	0.270322	1	-1
ART-D	chart_v1	10	3	0	0.273091	1	-1
ART-D	chart_v1	11	3	0	0.344242	1	-1
ART-D	chart_v1	12	3	0	0.387959	1	-1
ART-D	chart_v1	13	3	0	0.160334	1	-1
ART-D	chart_v1	14	3	0	0.472691	1	-1
ART-D	chart_v1	15	3	0	0.191753	1	-1
ART-D	chart_v1	16	3	0	0.331888	1	-1
ART-D	chart_v1	17	3	0	0.204258	1	-1
ART-D	chart_v1	18	3	0	0.340881	1	-1
ART-D	chart_v1	19	3	0	0.198224	1	-1
ART-D	chart_v1	20	3	0	0.487448	1	-1
ART-D	chart_v1	21	3	0	0.331574	1	-1
ART-D	chart_v1	22	3	0	0.388886	1	-1
ART-D	chart_v1	23	3	0	0.329194	1	-1
ART-D	chart_v1	24	3	0	0.288137	1	-1
ART-D	chart_v1	25	3	0	0.505487	1	-1
ART-D	chart_v1	26	3	0	0.263156	1	-1
ART-D	chart_v1	27	3	0	0.317061	1	-1
ART-D	chart_v1	28	3	0	0.221223	1	-1
ART-D	chart_v1	29	3	0	0.211395	1	-1
ART-D	chart_v1	30	3	0	0.229424	1	-1
ART-D	chart_v1	31	3	0	0.386684	1	-1
ART-D	chart_v1	32	3	0	0.282586	0	3
ART-D	chart_v1	33	3	0	0.229518	1	-1
ART-D	chart_v1	34	3	0	0.287935	1	-1
ART-D	chart_v1	35	3	0	0.3336	1	-1
ART-D	chart_v1	36	3	0	0.340253	1	-1
ART-D	chart_v1	37	3	0	0.333892	1	-1
ART-D	chart_v1	38	3	0	0.437822	1	-1
ART-D	chart_v1	39	3	0	0.416254	1	-1
ART-D	chart_v1	40	3	0	0.340222	1	-1
ART-D	chart_v1	41	3	0	0.224232	1	-1
ART-D	chart_v1	42	3	0	0.275934	1	-1
ART-D	chart_v1	43	3	0	0.164463	1	-1
ART-D	chart_v1	44	3	0	0.250797	1	-1
ART-D	chart_v1	45	3	0	0.247272	1	-1
ART-D	chart_v1	46	3	0	0.329135	1	-1
ART-D	chart_v1	47	3	0	0.167201	1	-1
ART-D	chart_v1	48	3	0	0.261138	1	-1
ART-D	chart_v1	49	3	0	0.406479	1	-1
ART-D	chart_v1	50	3	0	0.348414	1	-1
ART-D	chart_v1	1	4	0	0.536135	1	-1
ART-D	chart_v1	2	4	0	0.381205	1	-1
